route_Name,busname,bus_desc,bustype,starttime,endtime,duration,dploc,ratings,fare,seats,Bus_Name,Bus_Id,Seat_Type,Actype,dur_in_min,Orgin,End
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),15:30:00,22:00:00,06h 30m,Auto Nagar,3.8,436,31,APSRTC,Government Bus,Unknown,AC,390,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),15:30:00,21:25:00,05h 55m,Rtc bus stand,4,720,38,APSRTC,Government Bus,Unknown,AC,355,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,INDRA(A.C. Seater),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),16:00:00,21:50:00,05h 50m,Rtc bus stand,3.1,567,35,APSRTC,Government Bus,Unknown,AC,350,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),16:30:00,22:25:00,05h 55m,Rtc bus stand,4.4,720,41,APSRTC,Government Bus,Unknown,AC,355,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,INDRA(A.C. Seater),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),17:00:00,21:55:00,04h 55m,Rtc bus stand,2.7,528,23,APSRTC,Government Bus,Unknown,AC,295,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),17:00:00,22:50:00,05h 50m,Rtc bus stand,3.2,720,44,APSRTC,Government Bus,Unknown,AC,350,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),17:45:00,23:37:00,05h 52m,Rtc bus stand,4.3,720,42,APSRTC,Government Bus,Unknown,AC,352,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),18:30:00,0:30:00,06h 00m,Rtc bus stand,3.9,720,48,APSRTC,Government Bus,Unknown,AC,360,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),19:00:00,2:42:00,07h 42m,Auto Nagar,3.1,469,30,APSRTC,Government Bus,Unknown,AC,462,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,INDRA(A.C. Seater),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),19:00:00,23:00:00,04h 00m,Rtc bus stand,2.5,528,38,APSRTC,Government Bus,Unknown,AC,240,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),20:20:00,4:10:00,07h 50m,Auto Nagar,4.2,469,28,APSRTC,Government Bus,Unknown,AC,470,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),20:30:00,1:05:00,04h 35m,Rtc bus stand,3.8,670,20,APSRTC,Government Bus,Unknown,AC,275,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),21:00:00,4:41:00,07h 41m,Auto Nagar,4,469,29,APSRTC,Government Bus,Unknown,AC,461,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),21:00:00,3:40:00,06h 40m,Auto Nagar,4.4,469,31,APSRTC,Government Bus,Unknown,AC,400,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),21:40:00,5:20:00,07h 40m,Auto Nagar,3,469,31,APSRTC,Government Bus,Unknown,AC,460,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),21:42:00,6:00:00,08h 18m,PRODDUTUR X ROAD-VJA,4.7,469,31,APSRTC,Government Bus,Unknown,AC,498,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,VENNELA (A.C. SLEEPER),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),21:45:00,2:20:00,04h 35m,Rtc bus stand,4.6,781,23,APSRTC,Government Bus,Unknown,AC,275,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),21:45:00,2:50:00,05h 05m,Rtc bus stand,4.1,469,8,APSRTC,Government Bus,Unknown,AC,305,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),21:52:00,4:00:00,06h 08m,PORANKI,4,469,27,APSRTC,Government Bus,Unknown,AC,368,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:00:00,3:42:00,05h 42m,Rtc bus stand,3.9,720,40,APSRTC,Government Bus,Unknown,AC,342,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,INDRA(A.C. Seater),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:00:00,4:25:00,06h 25m,Rtc bus stand,3,567,30,APSRTC,Government Bus,Unknown,AC,385,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:00:00,4:20:00,06h 20m,Auto Nagar,4.4,469,23,APSRTC,Government Bus,Unknown,AC,380,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:00:00,4:25:00,06h 25m,Auto Nagar,3.6,469,24,APSRTC,Government Bus,Unknown,AC,385,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,INDRA(A.C. Seater),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:05:00,4:50:00,06h 45m,NIDAMANUR,3.9,567,36,APSRTC,Government Bus,Unknown,AC,405,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:05:00,5:20:00,07h 15m,PORANKI,4,469,15,APSRTC,Government Bus,Unknown,AC,435,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,VENNELA (A.C. SLEEPER),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:15:00,2:50:00,04h 35m,Rtc bus stand,3.5,781,17,APSRTC,Government Bus,Unknown,AC,275,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:15:00,4:40:00,06h 25m,PORANKI,4,720,31,APSRTC,Government Bus,Unknown,AC,385,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,STAR LINER(NON-AC SLEEPER 2+1),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:15:00,5:30:00,07h 15m,Auto Nagar,3.6,607,19,APSRTC,Government Bus,Unknown,AC,435,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:20:00,4:55:00,06h 35m,Rtc bus stand,4.1,469,24,APSRTC,Government Bus,Unknown,AC,395,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:25:00,5:25:00,07h 00m,PORANKI,3.9,469,27,APSRTC,Government Bus,Unknown,AC,420,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,Super Luxury (Non AC Seater 2+2 Push Back),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:25:00,6:10:00,07h 45m,GANGURU CHAITANYA COLLEGE-VJA,4.4,469,25,APSRTC,Government Bus,Unknown,AC,465,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:30:00,4:10:00,05h 40m,Rtc bus stand,4.1,720,44,APSRTC,Government Bus,Unknown,AC,340,Vijayawada,Hyderabad
Vijayawada to Hyderabad,APSRTC - 3858,STAR LINER(NON-AC SLEEPER 2+1),DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),22:30:00,4:25:00,05h 55m,PORANKI,4.4,607,15,APSRTC,Government Bus,Unknown,AC,355,Vijayawada,Hyderabad
